price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,house_age,is_renovated,years_since_ren,sqft_ratio,zipcode
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,Shoreline,60,1,10,0.1693415897889549,98133
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,Seattle,94,0,0,0.4032703568666446,98119
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,Kent,49,0,0,0.16153331101439572,98042
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,Bellevue,52,0,0,0.24903498941601296,98008
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,Redmond,39,1,23,0.18474431006570802,98052
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,Seattle,77,1,21,0.13790941858642847,98115
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,Redmond,39,0,0,0.5271378367825068,98052
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,Maple Valley,26,0,0,0.07555270567899858,98038
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,North Bend,30,0,0,0.0274802944801927,98045
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,Seattle,70,1,5,0.24512175455571683,98115
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,Lake Forest Park,67,1,21,0.23357464827209398,98155
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,Seattle,106,1,27,0.7298175456135966,98105
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,Sammamish,35,0,0,0.15644933861545693,98074
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,Seattle,60,1,6,0.16935985083903046,98106
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,Seattle,76,1,46,0.30692964877122664,98105
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,Kent,50,0,0,0.12344409011418578,98042
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,Bellevue,59,0,0,0.23429338904641098,98007
